,train_score,sparsity_sc,sparsity_sp,sparsity_diff
naca,0.9750583,0.009171774899755736,0.0092592592592593,8.748435950356459e-05
atp5c1,0.9748273,0.0050237360003687614,0.012345679012345734,0.007321943011976972
atp2b1,0.974505,0.030142416002212236,0.0092592592592593,-0.020883156742952935
dbi,0.97426736,0.029082361616813435,0.0030864197530864335,-0.025995941863727
camk2a,0.9736954,0.12315066599068991,0.0,-0.12315066599068991
slc25a3,0.9735286,0.003180163156196736,0.0092592592592593,0.0060790961030625645
plp1,0.97336036,0.8106650689035351,0.0,-0.8106650689035351
tsc22d1,0.9725034,0.02396644697423611,0.0,-0.02396644697423611
tagln3,0.971783,0.024012536295340392,0.015432098765432056,-0.008580437529908336
ndufa12,0.9715209,0.009448310826381534,0.0,-0.009448310826381534
maged1,0.97110677,0.026132645066138216,0.0030864197530864335,-0.023046225313051782
rpl7,0.97102064,0.011891044844909437,0.0092592592592593,-0.002631785585650137
pak1,0.9701679,0.04793289394847211,0.012345679012345734,-0.03558721493612638
enc1,0.9694843,0.2529381942203991,0.0092592592592593,-0.2436789349611398
pcsk2,0.96875894,0.11420933769645569,0.0092592592592593,-0.10495007843719639
snca,0.9687036,0.06821219523436417,0.006172839506172867,-0.0620393557281913
rasgrp1,0.9686925,0.32363921279439556,0.012345679012345734,-0.3112935337820498
osbpl1a,0.9686908,0.07240632345485554,0.01851851851851849,-0.05388780493633705
prdx2,0.9680637,0.012490206019265315,0.0092592592592593,-0.003230946760006015
mgst3,0.9672164,0.04682675024196892,0.024691358024691357,-0.02213539221727756
slc25a5,0.96690977,0.004194128220491367,0.01851851851851849,0.014324390298027123
celf4,0.96665967,0.04567451721436144,0.015432098765432056,-0.030242418448929387
pcp4,0.96651137,0.23911139788910907,0.012345679012345734,-0.22676571887676333
aldoc,0.9664237,0.48992948333871045,0.006172839506172867,-0.4837566438325376
ctxn1,0.96638054,0.18131538922431678,0.012345679012345734,-0.16896971021197105
cd81,0.96605426,0.0018435728441720256,0.024691358024691357,0.02284778518051933
rpl35,0.9655528,0.01032400792736321,0.012345679012345734,0.0020216710849825237
pgm2l1,0.965043,0.064340692261603,0.02777777777777779,-0.036562914483825204
tmsb10,0.9650428,0.04825551919620219,0.012345679012345734,-0.035909840183856456
ftl1,0.96501124,0.002534912660736466,0.006172839506172867,0.003637926845436401
sh3gl2,0.96497726,0.0773839701341199,0.015432098765432056,-0.06195187136868785
6330403k07rik,0.96455765,0.07512559340000924,0.012345679012345734,-0.0627799143876635
atp1a2,0.96440727,0.7567405632115038,0.0,-0.7567405632115038
cplx1,0.9643355,0.055353274646264494,0.01851851851851849,-0.036834756127746004
