,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
atp5a1,0.99122715,False,0.0,0.0052541826058901675,-0.0052541826058901675
rpl9,0.9911645,False,0.0,0.012490206019265315,-0.012490206019265315
ppp3ca,0.99107695,True,0.0,0.017467852698529795,-0.017467852698529795
thy1,0.9910726,False,0.0,0.05051389593031297,-0.05051389593031297
rps8,0.99098724,False,0.0,0.013273724478038429,-0.013273724478038429
serinc1,0.9909377,False,0.006172839506172867,0.004378485504908491,0.0017943540012643755
rpl27a,0.9908268,False,0.0,0.01898880029497163,-0.01898880029497163
atp5j,0.9906764,True,0.0,0.0014287689542332727,-0.0014287689542332727
cox7b,0.9906721,False,0.0030864197530864335,0.005945522422454719,-0.0028591026693682853
mt3,0.99066645,True,0.0,0.024196893579757517,-0.024196893579757517
rpl11,0.9905872,False,0.0,0.017513942019634077,-0.017513942019634077
rps12,0.99057156,False,0.0,0.0346130801493294,-0.0346130801493294
chn1,0.9903652,True,0.0,0.030695487855463943,-0.030695487855463943
rps16,0.99028766,False,0.0030864197530864335,0.019541872148223227,-0.016455452395136794
ttc3,0.9901943,False,0.0030864197530864335,0.0166382449186524,-0.013551825165565967
rps3a1,0.99019,False,0.0,0.01728349541411256,-0.01728349541411256
rpl34,0.9901693,False,0.0,0.016730423560860963,-0.016730423560860963
vsnl1,0.99015766,False,0.0030864197530864335,0.04323178319583354,-0.040145363442747106
uqcrq,0.98987794,False,0.0,0.00663686223901927,-0.00663686223901927
ndfip1,0.9898413,False,0.0030864197530864335,0.003917592293865457,-0.0008311725407790238
sparcl1,0.9898105,True,0.0,0.06586163985804494,-0.06586163985804494
pkm,0.9898045,False,0.0,0.010923169101719088,-0.010923169101719088
rab3a,0.98974663,False,0.0,0.023044660552150042,-0.023044660552150042
snhg11,0.9897002,True,0.0,0.014932940037793219,-0.014932940037793219
eif4a2,0.9896701,False,0.0,0.011015347743927761,-0.011015347743927761
pcsk1n,0.9896142,False,0.0,0.025763930497303744,-0.025763930497303744
hsp90ab1,0.9895987,False,0.006172839506172867,0.004424574826012773,0.0017482646801600943
clstn1,0.9895689,False,0.0030864197530864335,0.031801631561967136,-0.028715211808880703
aplp1,0.9895328,False,0.0,0.019080978937180304,-0.019080978937180304
ywhag,0.9895164,False,0.006172839506172867,0.04028206664515832,-0.034109227138985454
eif1,0.9895077,True,0.0,0.0002765359266257983,-0.0002765359266257983
zwint,0.98944366,True,0.0,0.014794672074480375,-0.014794672074480375
atp2a2,0.9894124,False,0.0,0.019034889616075912,-0.019034889616075912
uqcr11,0.9894009,False,0.0030864197530864335,0.0032723417984052983,-0.0001859220453188648
prnp,0.9893546,False,0.0,0.008111720514356824,-0.008111720514356824
rpl39,0.9893384,False,0.0,0.02092455178135222,-0.02092455178135222
lars2,0.98913866,False,0.0,9.217864220856242e-05,-9.217864220856242e-05
itm2b,0.9890043,True,0.0,0.0003226252477300795,-0.0003226252477300795
rpl37a,0.98897916,True,0.0,0.00530027192699456,-0.00530027192699456
ndufb9,0.98886734,False,0.0,0.004931557358160088,-0.004931557358160088
cox6b1,0.9888281,False,0.0,0.0019818408074848692,-0.0019818408074848692
atp5l,0.9887783,False,0.0030864197530864335,0.004240217541595648,-0.0011537977885092143
nptn,0.9887756,False,0.0030864197530864335,0.017145227450799605,-0.014058807697713172
rpl30,0.9884791,True,0.0,0.016684334239756682,-0.016684334239756682
uqcrh,0.988428,False,0.0,0.004885468037055807,-0.004885468037055807
rpl6,0.988351,False,0.0,0.017513942019634077,-0.017513942019634077
rpl23a,0.98829985,False,0.0,0.00861870304650414,-0.00861870304650414
ppp3r1,0.9881079,False,0.0,0.028114485873623085,-0.028114485873623085
rpl12,0.98806787,False,0.0,0.028391021800248883,-0.028391021800248883
basp1,0.98804533,False,0.0,0.04037424528736688,-0.04037424528736688
myl6,0.98797953,True,0.0030864197530864335,0.006867308844540676,-0.0037808890914542426
atp5e,0.9879621,False,0.0030864197530864335,0.00663686223901927,-0.0035504424859328365
ldhb,0.9879087,True,0.0,0.010139650642945974,-0.010139650642945974
rps19,0.98785114,True,0.0,0.010923169101719088,-0.010923169101719088
rps26,0.9877831,False,0.0,0.019541872148223227,-0.019541872148223227
atp5g3,0.9875417,True,0.0,0.0017974835230677444,-0.0017974835230677444
atp6v1e1,0.98749167,False,0.006172839506172867,0.010877079780614807,-0.00470424027444194
cck,0.9873928,True,0.0,0.22284186753929114,-0.22284186753929114
pebp1,0.98728245,False,0.0,0.0169147808452782,-0.0169147808452782
rps10,0.98724437,False,0.0,0.02027930128589206,-0.02027930128589206
pgam1,0.98704326,False,0.0092592592592593,0.021108909065769454,-0.011849649806510154
slc1a2,0.98702043,True,0.0,0.1956952574088584,-0.1956952574088584
ywhae,0.98698235,False,0.0,0.002120108770797824,-0.002120108770797824
rpl4,0.98694175,False,0.0,0.013918974973498588,-0.013918974973498588
rps27,0.9868596,True,0.0,0.007282112734479429,-0.007282112734479429
tuba1b,0.9868501,False,0.0,0.016085173065400693,-0.016085173065400693
gnb1,0.98674285,False,0.0030864197530864335,0.006360326312393472,-0.0032739065593070382
rps3,0.9867278,False,0.0,0.014840761395584656,-0.014840761395584656
rps13,0.98666143,False,0.0,0.011844955523805156,-0.011844955523805156
ywhab,0.9866378,False,0.006172839506172867,0.010692722496197682,-0.004519882990024815
rab6b,0.98641354,False,0.006172839506172867,0.04636585703092588,-0.040193017524753016
apoe,0.98619163,True,0.0,0.6682029773701433,-0.6682029773701433
rps15a,0.9861369,False,0.0,0.02322901783656728,-0.02322901783656728
stmn2,0.98612416,False,0.0,0.045720606535465724,-0.045720606535465724
hint1,0.98586404,False,0.006172839506172867,0.007743005945522463,-0.0015701664393495962
dnm1,0.9858113,False,0.0,0.0468728395630732,-0.0468728395630732
oaz1,0.98564947,False,0.0,0.0046089321104300085,-0.0046089321104300085
rpl14,0.9856359,False,0.0,0.014794672074480375,-0.014794672074480375
rpl3,0.98555285,False,0.0030864197530864335,0.01728349541411256,-0.014197075661026126
