,train_score,sparsity_sc,sparsity_sp,sparsity_diff
tsc22d1,0.8959881,0.02396644697423611,0.0,-0.02396644697423611
rpl36,0.89419156,0.006821219523436395,0.0,-0.006821219523436395
ldha,0.8941342,0.02295248190994148,0.0030864197530864335,-0.019866062156855047
atp1a1,0.8937757,0.02696225284601561,0.0,-0.02696225284601561
sptbn1,0.8935214,0.012398027377056753,0.0030864197530864335,-0.00931160762397032
fkbp1a,0.8934767,0.010554454532884727,0.0,-0.010554454532884727
rasgrp1,0.8931671,0.32363921279439556,0.012345679012345734,-0.3112935337820498
mt1,0.89293915,0.17979444162787483,0.0,-0.17979444162787483
osbpl1a,0.8925735,0.07240632345485554,0.01851851851851849,-0.05388780493633705
naca,0.89228046,0.009171774899755736,0.0092592592592593,8.748435950356459e-05
hnrnpa2b1,0.89157987,0.0005069825321473154,0.024691358024691357,0.02418437549254404
tagln3,0.89148927,0.024012536295340392,0.015432098765432056,-0.008580437529908336
klf9,0.89144456,0.12504032815596622,0.021604938271604923,-0.1034353898843613
atp2b2,0.89080757,0.03548877725031108,0.0030864197530864335,-0.03240235749722464
cd81,0.890649,0.0018435728441720256,0.024691358024691357,0.02284778518051933
prdx2,0.8905808,0.012490206019265315,0.0092592592592593,-0.003230946760006015
cox5a,0.89006364,0.005162003963681605,0.0092592592592593,0.004097255295577695
h3f3a,0.8899886,0.002581001981840858,0.021604938271604923,0.019023936289764065
slc17a7,0.8899203,0.43540581647232335,0.0030864197530864335,-0.4323193967192369
atp5c1,0.8897966,0.0050237360003687614,0.012345679012345734,0.007321943011976972
tmsb10,0.88937265,0.04825551919620219,0.012345679012345734,-0.035909840183856456
slc25a3,0.88892156,0.003180163156196736,0.0092592592592593,0.0060790961030625645
dbi,0.88870317,0.029082361616813435,0.0030864197530864335,-0.025995941863727
pcsk2,0.88834447,0.11420933769645569,0.0092592592592593,-0.10495007843719639
cxcr4,0.8874594,0.9816103608793842,0.9969135802469136,0.01530321936752932
ttc9b,0.8869868,0.0722219661704383,0.021604938271604923,-0.05061702789883338
chchd10,0.88607556,0.022860303267732918,0.0030864197530864335,-0.019773883514646484
ftl1,0.8860016,0.002534912660736466,0.006172839506172867,0.003637926845436401
pcp4,0.8856734,0.23911139788910907,0.012345679012345734,-0.22676571887676333
clu,0.88566285,0.023413375120984514,0.0,-0.023413375120984514
mpc2,0.8849753,0.013596349725768508,0.012345679012345734,-0.0012506707134227746
gnao1,0.88313293,0.022491588698898446,0.006172839506172867,-0.01631874919272558
pgm2l1,0.88274115,0.064340692261603,0.02777777777777779,-0.036562914483825204
slc25a5,0.8821086,0.004194128220491367,0.01851851851851849,0.014324390298027123
tspyl4,0.88210297,0.04046642392957556,0.024691358024691357,-0.0157750659048842
glul,0.88194567,0.09305433930958196,0.012345679012345734,-0.08070866029723622
cycs,0.8814384,0.0069594874867493495,0.021604938271604923,0.014645450784855574
cplx1,0.8811833,0.055353274646264494,0.01851851851851849,-0.036834756127746004
cnp,0.8811214,0.6447435129280545,0.043209876543209846,-0.6015336363848447
maged1,0.8810062,0.026132645066138216,0.0030864197530864335,-0.023046225313051782
pak1,0.8808647,0.04793289394847211,0.012345679012345734,-0.03558721493612638
