,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
rab6b,0.75582534,False,0.6272838002436054,0.28039045060724155,0.34689334963636387
tbx3os1,0.75575244,True,0.9976654486398701,0.9841852370322727,0.013480211607597381
grp,0.7556158,True,0.9875152253349574,0.925466308501381,0.062048916833576384
mt-co1,0.75484234,False,0.30024360535931793,0.12591275396314938,0.17433085139616855
nsf,0.75465333,True,0.6922452293950467,0.2152775150391586,0.47696771435588814
slc13a4,0.7540527,True,0.9992894843686561,0.9719647383753925,0.02732474599326351
mbp,0.753737,True,0.4502639058059277,0.46309258068177517,-0.01282867487584749
ncdn,0.75341696,False,0.6071863580998782,0.6302069539555825,-0.023020595855704262
adgre5,0.75302684,True,0.9958384084449858,0.9795316106087548,0.016306797836231013
atp5a1,0.75297165,False,0.6510353227771011,0.3128144981271991,0.338220824649902
aldoc,0.75256854,False,0.46833130328867234,0.6307366350119179,-0.16240533172324556
gabbr1,0.75135237,False,0.6757003654080389,0.2436154515531005,0.4320849138549384
lypd1,0.7506311,True,0.9325010150223305,0.8746169270931861,0.05788408792914446
slc25a3,0.7502415,False,0.654181892001624,0.26782944269986,0.38635244930176404
lama1,0.750126,True,0.9988834754364596,0.9615981234156861,0.03728535202077354
prkcb,0.748511,True,0.6854445797807551,0.17256252128182814,0.512882058498927
klc1,0.7484709,False,0.6380430369468129,0.3134198479058681,0.3246231890409448
mt-nd4,0.7473873,False,0.19518879415347135,0.44311603798569865,-0.2479272438322273
gm15261,0.74731773,True,0.9998984977669508,0.9620521357496878,0.03784636201726299
nr2f2,0.7469442,True,0.993605359317905,0.9581930309106731,0.03541232840723185
clu,0.74538136,False,0.5507511165245635,0.572244712648027,-0.021493596123463465
serpinh1,0.7453793,True,0.9961429151441332,0.9721917445423934,0.02395117060173979
sult4a1,0.7451324,False,0.6635200974421438,0.5382316219590633,0.12528847548308053
rpl4,0.7448889,False,0.48538367844092567,0.5863947637244145,-0.10101108528348879
cspg4,0.74459326,True,0.9860941940722696,0.9623926450001892,0.02370154907208044
rtn4,0.74353874,False,0.6935647584246853,0.08535431879232724,0.6082104396323581
itm2b,0.7431775,False,0.6514413317092975,0.0854299875146608,0.5660113441946367
cryab,0.74314195,True,0.8696711327649208,0.6961144111081685,0.1735567216567523
klf4,0.74313265,True,0.9963459196102314,0.9849419242556089,0.011403995354622554
tmem119,0.7425463,True,0.9906617945594803,0.9715863947637244,0.0190753997957559
fgd5,0.741955,True,0.9979699553390174,0.9796451136922553,0.01832484164676218
atp2a2,0.74162644,True,0.739646772228989,0.17460557678483601,0.565041195444153
atp2b1,0.7414975,True,0.7553796183516037,0.17952404373652153,0.5758555746150822
nptn,0.74132085,True,0.7343686561104344,0.16522265521546664,0.5691460008949678
lmo4,0.7411181,False,0.7013804303694682,0.32654837123075175,0.3748320591387164
pth1r,0.7410137,True,0.9944173771822981,0.9588362150505089,0.03558116213178919
stmn2,0.7391958,False,0.7001624035728786,0.31186863909802887,0.38829376447484976
wfdc1,0.7387939,True,0.9964474218432805,0.9882335136771215,0.008213908166158967
kit,0.73791164,True,0.9900527811611856,0.9372327948242594,0.052819986336926195
csf3r,0.73761487,True,0.9981729598051157,0.9665544247285385,0.03161853507657719
ndrg1,0.73713285,True,0.9246853430775477,0.8894479966705762,0.035237346406971515
rbp1,0.7368039,True,0.9764514819326026,0.9621656388331883,0.014285843099414275
itga1,0.73603904,True,0.9958384084449858,0.9729105974045629,0.022927811040422963
uaca,0.7357701,True,0.9931993503857085,0.9777912299950815,0.015408120390627
arf3,0.73561776,False,0.6158140479090539,0.4364193560591729,0.179394691849881
eno2,0.73500335,False,0.6883881445391798,0.4935114070598918,0.19487673747928802
slc16a12,0.7346784,True,0.9992894843686561,0.9696946767053838,0.02959480766327227
ecm2,0.7338963,True,0.9986804709703614,0.9707162044568878,0.027964266513473612
srgn,0.7337737,True,0.9947218838814454,0.9791154326359199,0.01560645124552551
nap1l5,0.73365813,False,0.7056435241575314,0.29363247701562556,0.41201104714190584
sv2c,0.7331864,True,0.9885302476654486,0.9106352389239908,0.07789500874145783
tbx15,0.7321192,True,0.9996954933008526,0.9683704740645455,0.03132501923630715
prox1os,0.7315032,True,0.9960414129110841,0.9599334115243464,0.03610800138673764
tecr,0.73086375,False,0.703613479496549,0.21497484014982404,0.4886386393467249
slc17a8,0.7296562,False,0.9970564352415753,0.9858877832847792,0.01116865195679606
3110035e14rik,0.7295252,True,0.7809581810799837,0.5335779955355453,0.2473801855444384
unc5b,0.7288106,True,0.9763499796995534,0.9340168741250804,0.04233310557447301
tuba4a,0.7287966,False,0.6786439301664637,0.5090234951382846,0.16962043502817914
