,train_score,sparsity_sc,sparsity_sp,sparsity_diff
pde3a,0.8022292,0.9513071771783134,0.997563946406821,0.04625676922850763
scd2,0.8008481,0.32435397828307666,0.6312423873325212,0.3068884090494446
cdh5,0.79640746,0.987552495176119,0.9984774665042631,0.010924971328144073
erg,0.79565126,0.9713215542355568,0.9948233861144945,0.02350183187893773
gad1,0.7929905,0.8534675192009383,0.9132155907429964,0.05974807154205808
map1b,0.7889344,0.27066701978737084,0.6050548112058465,0.33438779141847563
slc38a11,0.78795016,0.9912224282092997,0.9995939910678034,0.008371562858503712
tspan2,0.7876616,0.81915175362264,0.9352415753146569,0.11608982169201687
glul,0.78660995,0.4971435057319057,0.4935038570848559,-0.003639648647049798
app,0.7833168,0.1088116227157504,0.6674786845310596,0.5586670618153092
syt1,0.78326404,0.21455866217698916,0.6273853024766545,0.4128266402996653
slfn5,0.7829777,0.9895955506791267,0.9993909866017052,0.009795435922578477
car2,0.78260386,0.7222957890356021,0.8128298822574096,0.0905340932218075
fn1,0.7798935,0.9822556846127654,0.9953308972797401,0.013075212666974756
snhg11,0.77914906,0.22742234497370517,0.5989646772228989,0.37154233224919375
sept4,0.778387,0.5530626915364534,0.7251319529029638,0.17206926136651046
tnfaip6,0.7761751,0.8617154099353033,0.9883272431993504,0.12661183326404712
opalin,0.7751566,0.8923234081192539,0.9308769792935445,0.03855357117429059
foxc1,0.7730686,0.983920396504105,0.9985789687373122,0.014658572233207212
chgb,0.77124393,0.32140289811206535,0.7374137231019082,0.4160108249898429
efemp1,0.77122635,0.9489236124248042,0.9956354039788875,0.04671179155408334
dab2,0.7711059,0.954598766599826,0.9964474218432805,0.04184865524345449
zic4,0.77107745,0.986530967424615,0.9955339017458384,0.009002934321223455
ncald,0.77037275,0.22227687185501876,0.6457572066585464,0.42348033480352765
slc1a2,0.76795703,0.22908705686504482,0.427324401136825,0.1982373442717802
gria2,0.7675531,0.17199500586432603,0.7282785221274868,0.5562835162631607
cyyr1,0.7670398,0.981309825583595,0.9989849776695088,0.017675152085913748
mobp,0.7664223,0.7512769096893799,0.6783394234673163,-0.07293748622206353
atp1a2,0.7664,0.7580492603382392,0.6341859520909461,-0.12386330824729308
acvrl1,0.76639134,0.9827475313079339,0.9928948436865611,0.010147312378627205
mef2c,0.7662484,0.18243728954636595,0.6770198944376776,0.4945826048913117
pde11a,0.76568073,0.9656085656993681,0.9964474218432805,0.030838856143912352
fas,0.76562387,0.9872119859256177,0.9989849776695088,0.011772991743891126
malat1,0.76438445,0.0,0.2840032480714576,0.2840032480714576
ror1,0.7636154,0.9382164882145965,0.9986804709703614,0.06046398275576492
slc6a20a,0.763087,0.9776777269115811,0.9968534307754771,0.019175703863896
art3,0.7623445,0.9625818168060232,0.9977669508729192,0.03518513406689605
rtn3,0.76077044,0.09284552230335585,0.6975233455136013,0.6046778232102454
slc17a7,0.75780475,0.40244409973137607,0.7295980511571254,0.3271539514257493
frem1,0.7560143,0.9701865234005523,0.9987819732034104,0.02859544980285811
tbx3os1,0.75575244,0.9841852370322727,0.9976654486398701,0.013480211607597381
grp,0.7556158,0.925466308501381,0.9875152253349574,0.062048916833576384
nsf,0.7546532,0.2152775150391586,0.6922452293950467,0.47696771435588814
slc13a4,0.7540527,0.9719647383753925,0.9992894843686561,0.02732474599326351
mbp,0.753737,0.46309258068177517,0.4502639058059277,-0.01282867487584749
adgre5,0.7530269,0.9795316106087548,0.9958384084449858,0.016306797836231013
lypd1,0.7506311,0.8746169270931861,0.9325010150223305,0.05788408792914446
lama1,0.750126,0.9615981234156861,0.9988834754364596,0.03728535202077354
prkcb,0.748511,0.17256252128182814,0.6854445797807551,0.512882058498927
gm15261,0.74731773,0.9620521357496878,0.9998984977669508,0.03784636201726299
nr2f2,0.7469442,0.9581930309106731,0.993605359317905,0.03541232840723185
serpinh1,0.7453794,0.9721917445423934,0.9961429151441332,0.02395117060173979
cspg4,0.74459326,0.9623926450001892,0.9860941940722696,0.02370154907208044
cryab,0.74314195,0.6961144111081685,0.8696711327649208,0.1735567216567523
klf4,0.74313265,0.9849419242556089,0.9963459196102314,0.011403995354622554
tmem119,0.7425463,0.9715863947637244,0.9906617945594803,0.0190753997957559
fgd5,0.74195504,0.9796451136922553,0.9979699553390174,0.01832484164676218
atp2a2,0.74162644,0.17460557678483601,0.739646772228989,0.565041195444153
atp2b1,0.7414975,0.17952404373652153,0.7553796183516037,0.5758555746150822
nptn,0.7413209,0.16522265521546664,0.7343686561104344,0.5691460008949678
